mktrf,smb,hml,rf,umd,dateff
0.029600,-0.025600,-0.024300,0.00220,,1926-07-31
0.026400,-0.011700,0.038200,0.00250,,1926-08-31
0.003600,-0.014000,0.001300,0.00230,,1926-09-30
-0.032400,-0.000900,0.007000,0.00320,,1926-10-30
0.025300,-0.001000,-0.005100,0.00310,,1926-11-30
0.026200,-0.000300,-0.000500,0.00280,,1926-12-31
-0.000600,-0.003700,0.045400,0.00250,0.003600,1927-01-31
0.041800,0.000400,0.029400,0.00260,-0.021400,1927-02-28
0.001300,-0.016500,-0.026100,0.00300,0.036100,1927-03-31
0.004600,0.003000,0.008100,0.00250,0.043000,1927-04-30
0.054400,0.015300,0.047300,0.00300,0.030000,1927-05-31
-0.023400,0.005900,-0.017300,0.00260,0.006000,1927-06-30
0.072600,-0.032500,-0.011400,0.00300,0.043100,1927-07-30
0.019700,-0.006900,-0.037400,0.00280,0.013600,1927-08-31
0.047600,-0.036300,-0.006300,0.00210,0.019800,1927-09-30
-0.043100,0.021200,-0.043300,0.00250,-0.008700,1927-10-31
0.065800,0.027200,-0.002700,0.00210,-0.005100,1927-11-30
0.020900,0.009700,-0.011300,0.00220,0.032100,1927-12-31
-0.006800,0.042600,-0.007500,0.00250,-0.005200,1928-01-31
-0.017000,-0.020600,-0.006500,0.00330,-0.010900,1928-02-29
0.088100,-0.002600,-0.012200,0.00290,0.047000,1928-03-31
0.042300,0.039800,0.034400,0.00220,-0.044100,1928-04-30
0.015200,0.028500,-0.032700,0.00320,0.030200,1928-05-31
-0.048500,-0.035200,-0.000300,0.00310,0.020400,1928-06-30
0.006200,-0.013200,-0.005000,0.00320,0.026500,1928-07-31
0.066800,-0.020600,-0.021500,0.00320,0.035400,1928-08-31
0.028800,0.024100,0.008600,0.00270,0.034500,1928-09-29
0.013300,0.022200,-0.021600,0.00410,0.051000,1928-10-31
0.118100,-0.017800,0.027000,0.00380,0.020900,1928-11-30
0.003600,-0.008600,-0.006500,0.00060,0.015400,1928-12-31
0.046600,-0.035600,-0.012400,0.00340,0.024500,1929-01-31
-0.003400,-0.003800,0.016600,0.00360,0.030500,1929-02-28
-0.008900,-0.047100,0.015800,0.00340,-0.006400,1929-03-28
0.014300,-0.009700,0.005900,0.00360,0.019100,1929-04-30
-0.063900,-0.053700,-0.014200,0.00440,-0.020400,1929-05-31
0.097000,-0.021700,-0.027900,0.00520,0.086000,1929-06-29
0.044600,-0.038800,0.027100,0.00330,0.029600,1929-07-31
0.081800,-0.095900,0.001300,0.00400,0.047000,1929-08-30
-0.054700,0.011900,-0.006500,0.00350,0.029700,1929-09-30
-0.201200,-0.040100,0.077800,0.00460,0.041000,1929-10-31
-0.127400,-0.017200,0.050500,0.00370,-0.023900,1929-11-27
0.013300,-0.045000,-0.005400,0.00370,0.051900,1929-12-31
0.056100,0.035500,-0.009600,0.00140,-0.051600,1930-01-31
0.025000,0.001900,0.002000,0.00300,0.006200,1930-02-28
0.071000,0.034100,0.003300,0.00350,-0.044200,1930-03-31
-0.020600,-0.003500,-0.003500,0.00210,0.039800,1930-04-30
-0.016600,-0.020100,-0.007300,0.00260,0.000500,1930-05-29
-0.162700,-0.033800,0.023300,0.00270,0.066400,1930-06-30
0.041200,-0.002800,-0.017500,0.00200,-0.021900,1930-07-31
0.003000,-0.021000,-0.006100,0.00090,0.039500,1930-08-29
-0.127500,-0.022100,-0.049600,0.00220,0.114800,1930-09-30
-0.087800,-0.001200,-0.013800,0.00090,0.068600,1930-10-31
-0.030400,0.022300,-0.036600,0.00130,-0.014600,1930-11-29
-0.078300,-0.046000,-0.052500,0.00140,0.133200,1930-12-31
0.062400,0.034500,0.071200,0.00150,-0.110700,1931-01-31
0.108800,0.035900,0.019200,0.00040,-0.144700,1931-02-28
-0.064300,0.029800,-0.034400,0.00130,0.094600,1931-03-31
-0.099800,-0.044500,-0.038200,0.00080,0.114000,1931-04-30
-0.132400,0.053500,-0.065700,0.00090,0.092600,1931-05-29
0.139000,-0.053200,0.112900,0.00080,-0.178800,1931-06-30
-0.066200,0.014200,-0.021100,0.00060,0.081900,1931-07-31
0.004100,-0.019500,-0.014700,0.00030,-0.035000,1931-08-31
-0.291300,0.005400,-0.067700,0.00030,0.101500,1931-09-30
0.080400,-0.018700,0.017000,0.00100,0.032700,1931-10-31
-0.090800,0.043100,-0.050400,0.00170,0.075400,1931-11-30
-0.135300,-0.005500,-0.088500,0.00120,0.141600,1931-12-31
-0.015800,0.039300,0.090300,0.00230,-0.108700,1932-01-30
0.054600,-0.027800,-0.014600,0.00230,0.015900,1932-02-29
-0.112100,0.022700,-0.023200,0.00160,0.099200,1932-03-31
-0.179600,0.014500,0.014300,0.00110,0.069700,1932-04-30
-0.205100,0.039100,-0.029800,0.00060,0.122800,1932-05-31
-0.007000,0.003300,0.053000,0.00020,0.018800,1932-06-30
0.338400,-0.045900,0.356100,0.00030,-0.450200,1932-07-30
